What a fascinating project!

ANSI escape codes are a set of escape sequences used to control the behavior of terminals and consoles. They're widely used in Unix-like systems, but also in some Windows applications.

Here's a text file containing a comprehensive list of ANSI escape codes I've compiled:

**ansi_escape_codes.txt**

# Basic Control Sequences

\033[0m          Reset all attributes
\033[0;14H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;15H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;16H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;17H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;18H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;19H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;20H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;21H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;22H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;23H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;24H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;25H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;26H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;27H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;28H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;29H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;30H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;31H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;32H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;33H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;34H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;35H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;36H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;37H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;38H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;39H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;40H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;41H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;42H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;43H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;44H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;45H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;46H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;47H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;48H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;49H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;50H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;51H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;52H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;53H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;54H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;55H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;56H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;57H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;58H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;59H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;60H    Reset all attributes and move cursor to top-left corner (alternative)
\033[0;61H
